seed,target,family,arity,scan_max_depth,pool_size,scanned_until_stop,shallow_found,found_signature,found_rpn,found_nodes,found_depth,found_train_mse,found_holdout_mse,found_complex_mse,registry_nodes,registry_depth,same_as_registry,shorter_than_registry,gate6_rejected_train_plausible,first_rejection_reasons
0,one_const,unary,1,3,1446,1,True,1,1,1,0,0.0,0.0,0.0,1,0,True,False,0,
0,identity_x,unary,1,3,1446,2,True,x,x,1,0,0.0,0.0,0.0,1,0,True,False,0,
0,e_const,unary,1,3,1446,3,True,"eml(1,1)",11E,3,1,0.0,0.0,0.0,3,1,True,False,0,
0,zero_const,unary,1,3,1446,40,True,"eml(1,eml(eml(1,1),1))",111E1EE,7,3,0.0,0.0,0.0,7,3,True,False,0,
0,exp_x,unary,1,3,1446,5,True,"eml(x,1)",x1E,3,1,0.0,0.0,0.0,3,1,True,False,0,
0,ln_x,unary,1,3,1446,50,True,"eml(1,eml(eml(1,x),1))",11xE1EE,7,3,5.4247026766907145e-33,1.556593733589101e-32,2.2750067059646738e-32,7,3,True,False,0,
0,neg_x,unary,1,3,1446,1446,False,,,0,0,1.6331364003959419,3.870826266274145,0.8841112204481982,17,7,False,False,0,
0,x_square,unary,1,3,1446,1446,False,,,0,0,0.9376961706462069,1.7623336535963905,0.5780833364252845,41,10,False,False,0,
0,identity_y,binary,2,3,21612,3,True,y,y,1,0,0.0,0.0,0.0,1,0,True,False,0,
0,x_minus_y,binary,2,3,21612,21612,False,,,0,0,0.37758414853087174,0.400636097871191,0.1849186231538715,11,4,False,False,0,
0,x_plus_y,binary,2,3,21612,21612,False,,,0,0,0.46310869095212587,0.6448683899949774,0.2375622424581295,27,9,False,False,0,
0,x_times_y,binary,2,3,21612,21612,False,,,0,0,0.8786833333333331,2.737326437261832,0.3053518408426306,41,10,False,False,0,
0,x_div_y,binary,2,3,21612,21612,False,,,0,0,0.2074316448116343,0.34833220301852436,0.4845954115187268,25,8,False,False,0,
1,one_const,unary,1,3,1446,1,True,1,1,1,0,0.0,0.0,0.0,1,0,True,False,0,
1,identity_x,unary,1,3,1446,2,True,x,x,1,0,0.0,0.0,0.0,1,0,True,False,0,
1,e_const,unary,1,3,1446,3,True,"eml(1,1)",11E,3,1,0.0,0.0,0.0,3,1,True,False,0,
1,zero_const,unary,1,3,1446,40,True,"eml(1,eml(eml(1,1),1))",111E1EE,7,3,0.0,0.0,0.0,7,3,True,False,0,
1,exp_x,unary,1,3,1446,5,True,"eml(x,1)",x1E,3,1,0.0,0.0,0.0,3,1,True,False,0,
1,ln_x,unary,1,3,1446,50,True,"eml(1,eml(eml(1,x),1))",11xE1EE,7,3,5.4247026766907145e-33,1.405176543018156e-32,1.782228068131348e-32,7,3,True,False,0,
1,neg_x,unary,1,3,1446,1446,False,,,0,0,1.6331364003959419,2.917688497605916,0.9239564127277688,17,7,False,False,0,
1,x_square,unary,1,3,1446,1446,False,,,0,0,0.9376961706462069,1.4461872348313578,0.5598073004909424,41,10,False,False,0,
1,identity_y,binary,2,3,21612,3,True,y,y,1,0,0.0,0.0,0.0,1,0,True,False,0,
1,x_minus_y,binary,2,3,21612,21612,False,,,0,0,0.37758414853087174,0.32526028357732795,0.19808813691897567,11,4,False,False,0,
1,x_plus_y,binary,2,3,21612,21612,False,,,0,0,0.46310869095212587,0.5469704417607397,0.28293729054103506,27,9,False,False,0,
1,x_times_y,binary,2,3,21612,21612,False,,,0,0,0.8786833333333331,2.1961289386167646,0.26439577040607815,41,10,False,False,0,
1,x_div_y,binary,2,3,21612,21612,False,,,0,0,0.2074316448116343,0.37847061873856297,0.46995672234485775,25,8,False,False,0,
2,one_const,unary,1,3,1446,1,True,1,1,1,0,0.0,0.0,0.0,1,0,True,False,0,
2,identity_x,unary,1,3,1446,2,True,x,x,1,0,0.0,0.0,0.0,1,0,True,False,0,
2,e_const,unary,1,3,1446,3,True,"eml(1,1)",11E,3,1,0.0,0.0,0.0,3,1,True,False,0,
2,zero_const,unary,1,3,1446,40,True,"eml(1,eml(eml(1,1),1))",111E1EE,7,3,0.0,0.0,0.0,7,3,True,False,0,
2,exp_x,unary,1,3,1446,5,True,"eml(x,1)",x1E,3,1,0.0,0.0,0.0,3,1,True,False,0,
2,ln_x,unary,1,3,1446,50,True,"eml(1,eml(eml(1,x),1))",11xE1EE,7,3,5.4247026766907145e-33,1.8153943412438446e-32,2.1135827279009035e-32,7,3,True,False,0,
2,neg_x,unary,1,3,1446,1446,False,,,0,0,1.6331364003959419,2.5733486818543008,0.9885748582526789,17,7,False,False,0,
2,x_square,unary,1,3,1446,1446,False,,,0,0,0.9376961706462069,1.3109915406426433,0.5465646531073188,41,10,False,False,0,
2,identity_y,binary,2,3,21612,3,True,y,y,1,0,0.0,0.0,0.0,1,0,True,False,0,
2,x_minus_y,binary,2,3,21612,21612,False,,,0,0,0.37758414853087174,0.4406683303708205,0.18427269729544715,11,4,False,False,0,
2,x_plus_y,binary,2,3,21612,21612,False,,,0,0,0.46310869095212587,0.6936531432208436,0.22120156567235857,27,9,False,False,0,
2,x_times_y,binary,2,3,21612,21612,False,,,0,0,0.8786833333333331,2.3827419003805477,0.29420806646036435,41,10,False,False,0,
2,x_div_y,binary,2,3,21612,21612,False,,,0,0,0.2074316448116343,0.3627450176867714,0.4507304157536427,25,8,False,False,0,
