variant,runs,targets,exact_recovery_rate,mean_holdout_mse,mean_complex_mse,mean_candidate_evals,mean_gate6_rejections,final_preservation_rate,mean_nodes_accepted_or_best
gradient_only,3,39,0.0,0.012678711186357031,0.040245039141915136,1,0,1.0,0
nda_full,3,39,1.0,9.055768748765822e-32,5.933261644874337e-32,1,0,1.0,14.23076923076923
no_freeze,3,39,1.0,9.055768748765822e-32,5.933261644874337e-32,1,0,0.46153846153846156,14.23076923076923
no_gate6,3,39,0.0,0.26831898556229483,0.3130275273144124,1,0,0.23076923076923078,1
no_rlcr,3,39,1.0,9.055768748765822e-32,5.933261644874337e-32,7.846153846153846,1,1.0,14.23076923076923
random_tree,3,39,0.0,1.9130439555434662,0.7738719222626276,5.846153846153846,0,1.0,3.1538461538461537
